Date,Route,Price
2023-10-19 00:00:00,Shanghai-Rotterdam,1009.99
2023-10-19 01:00:00,Shanghai-Rotterdam,999.18
2023-10-19 02:00:00,Shanghai-Rotterdam,1005.73
2023-10-19 03:00:00,Shanghai-Rotterdam,1001.25
2023-10-19 04:00:00,Shanghai-Rotterdam,1005.09
2023-10-19 05:00:00,Shanghai-Rotterdam,995.66
2023-10-19 06:00:00,Shanghai-Rotterdam,999.39
2023-10-19 07:00:00,Shanghai-Rotterdam,995.36
2023-10-19 08:00:00,Shanghai-Rotterdam,1006.81
2023-10-19 09:00:00,Shanghai-Rotterdam,1008.84
2023-10-19 10:00:00,Shanghai-Rotterdam,1008.81
2023-10-19 11:00:00,Shanghai-Rotterdam,1004.47
2023-10-19 12:00:00,Shanghai-Rotterdam,1002.53
2023-10-19 13:00:00,Shanghai-Rotterdam,1000.12
2023-10-19 14:00:00,Shanghai-Rotterdam,1003.89
2023-10-19 15:00:00,Shanghai-Rotterdam,1004.65
2023-10-19 16:00:00,Shanghai-Rotterdam,1007.03
2023-10-19 17:00:00,Shanghai-Rotterdam,1002.64
2023-10-19 18:00:00,Shanghai-Rotterdam,1002.01
2023-10-19 19:00:00,Shanghai-Rotterdam,999.89
2023-10-19 20:00:00,Shanghai-Rotterdam,1013.78
2023-10-19 21:00:00,Shanghai-Rotterdam,1002.96
2023-10-19 22:00:00,Shanghai-Rotterdam,1012.09
2023-10-19 23:00:00,Shanghai-Rotterdam,1001.31
2023-10-20 00:00:00,Shanghai-Rotterdam,1007.74
2023-10-20 01:00:00,Shanghai-Rotterdam,1009.75
2023-10-20 02:00:00,Shanghai-Rotterdam,1011.27
2023-10-20 03:00:00,Shanghai-Rotterdam,1008.41
2023-10-20 04:00:00,Shanghai-Rotterdam,1009.67
2023-10-20 05:00:00,Shanghai-Rotterdam,1014.16
2023-10-20 06:00:00,Shanghai-Rotterdam,1019.8
2023-10-20 07:00:00,Shanghai-Rotterdam,1010.66
2023-10-20 08:00:00,Shanghai-Rotterdam,1007.63
2023-10-20 09:00:00,Shanghai-Rotterdam,1005.24
2023-10-20 10:00:00,Shanghai-Rotterdam,1005.76
2023-10-20 11:00:00,Shanghai-Rotterdam,1012.51
2023-10-20 12:00:00,Shanghai-Rotterdam,1015.28
2023-10-20 13:00:00,Shanghai-Rotterdam,1013.1
2023-10-20 14:00:00,Shanghai-Rotterdam,1020.06
2023-10-20 15:00:00,Shanghai-Rotterdam,1007.84
2023-10-20 16:00:00,Shanghai-Rotterdam,1010.63
2023-10-20 17:00:00,Shanghai-Rotterdam,1018.59
2023-10-20 18:00:00,Shanghai-Rotterdam,1014.31
2023-10-20 19:00:00,Shanghai-Rotterdam,1010.47
2023-10-20 20:00:00,Shanghai-Rotterdam,1000.63
2023-10-20 21:00:00,Shanghai-Rotterdam,1013.21
2023-10-20 22:00:00,Shanghai-Rotterdam,1009.63
2023-10-20 23:00:00,Shanghai-Rotterdam,1009.88
2023-10-21 00:00:00,Shanghai-Rotterdam,1005.53
2023-10-21 01:00:00,Shanghai-Rotterdam,1013.3
2023-10-21 02:00:00,Shanghai-Rotterdam,1015.35
